Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,TklInt,Clr,Err,Matches
Agustín Rossi,ar ARG,GK,30-060,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,4,Matches
Leo Ortiz,br BRA,DF,29-290,24.5,32,19,19,12,1,10,13,76.9,3,18,16,2,17,49,106,4,Matches
Giorgian De Arrascaeta,uy URU,MF.FW,31-141,21.0,31,14,9,16,6,9,19,47.4,10,10,2,8,5,36,8,0,Matches
Léo Pereira,br BRA,DF,29-262,24.0,20,12,15,4,1,12,25,48.0,13,25,14,11,18,38,95,1,Matches
Alex Sandro,br BRA,DF,34-267,14.2,12,6,3,6,3,3,7,42.9,4,16,7,9,17,29,46,1,Matches
Bruno Henrique,br BRA,FW.MF,34-294,14.0,17,13,3,6,8,7,15,46.7,8,10,0,10,3,20,5,0,Matches
Pedro,br BRA,FW,28-122,11.6,9,6,3,3,3,4,10,40.0,6,9,1,8,6,15,7,0,Matches
Luiz Araújo,br BRA,FW.MF,29-140,15.1,43,31,12,24,7,17,29,58.6,12,15,0,15,6,49,11,0,Matches
Jorginho,it ITA,MF,33-304,11.7,17,11,4,11,2,13,24,54.2,11,7,2,5,18,35,3,2,Matches
Guillermo Varela,uy URU,DF,32-210,11.7,20,13,9,7,4,9,16,56.3,7,6,4,2,4,24,34,1,Matches
Wesley,br BRA,DF,22-044,10.9,29,20,15,11,3,13,24,54.2,11,10,1,9,12,41,16,1,Matches
Samuel Lino,br BRA,FW.MF,25-301,9.2,19,11,9,9,1,7,21,33.3,14,16,2,14,2,21,7,0,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,11.8,21,17,12,4,5,6,17,35.3,11,11,0,11,2,23,7,0,Matches
Nicolás De La Cruz,uy URU,MF,28-141,9.3,16,10,11,5,0,10,17,58.8,7,3,2,1,7,23,8,1,Matches
Erick Pulgar,cl CHI,MF,31-278,8.2,13,10,2,7,4,6,13,46.2,7,4,3,1,16,29,13,1,Matches
Gerson,br BRA,FW.MF,28-153,7.9,17,14,5,7,5,9,14,64.3,5,7,1,6,5,22,3,0,Matches
Allan,br BRA,MF,28-231,7.6,6,4,2,4,0,2,2,100.0,0,8,4,4,9,15,9,0,Matches
Emerson,br BRA,DF,26-279,7.9,21,13,10,9,2,10,17,58.8,7,8,1,7,12,33,19,0,Matches
Everton Soares,br BRA,FW.MF,29-212,7.5,10,7,5,3,2,6,13,46.2,7,4,0,4,3,13,2,0,Matches
Danilo,br BRA,DF,34-097,8.2,7,6,5,2,0,3,8,37.5,5,4,3,1,8,15,32,0,Matches
Evertton,br BRA,MF,22-234,8.0,14,11,5,7,2,9,13,69.2,4,11,2,9,3,17,8,0,Matches
Saúl Ñíguez,es ESP,MF,30-333,7.6,16,11,10,6,0,8,18,44.4,10,13,2,11,13,29,12,0,Matches
Ayrton Lucas,br BRA,DF,28-123,7.5,18,14,8,10,0,6,12,50.0,6,5,2,3,4,22,22,0,Matches
Michael,br BRA,FW,29-222,5.0,5,1,0,3,2,1,8,12.5,7,9,1,8,2,7,3,1,Matches
Jorge Carrascal,co COL,FW.MF,27-148,4.4,17,7,3,5,9,7,13,53.8,6,4,0,4,2,19,4,0,Matches
Juninho,br BRA,FW,28-333,3.1,7,6,1,4,2,1,4,25.0,3,2,0,2,1,8,4,0,Matches
Matías Viña,uy URU,DF,27-345,3.1,10,6,4,5,1,5,10,50.0,5,6,1,5,1,11,5,1,Matches
Wallace,br BRA,FW.MF,20-254,2.3,4,4,0,1,3,2,4,50.0,2,5,0,5,1,5,0,0,Matches
Cleiton,br BRA,DF,22-178,0.9,3,2,1,2,0,1,1,100.0,0,2,2,0,2,5,7,0,Matches
Matheus Gonçalves,br BRA,FW,20-063,0.8,1,1,0,1,0,1,3,33.3,2,2,0,2,0,1,0,0,Matches
Victor Hugo,br BRA,MF,21-162,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
