Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Agustín Rossi,ar ARG,GK,30-060,28.0,1,0,0,0,10,0,0,0,0,0,0,0,58,5,2,71.4,Matches
Leo Ortiz,br BRA,DF,29-290,24.5,4,0,0,19,5,1,5,17,19,0,0,0,96,57,29,66.3,Matches
Giorgian De Arrascaeta,uy URU,MF.FW,31-141,21.0,2,0,0,11,46,2,120,5,14,2,0,0,63,14,13,51.9,Matches
Léo Pereira,br BRA,DF,29-262,24.0,5,0,0,20,10,0,8,18,12,0,2,0,87,41,34,54.7,Matches
Alex Sandro,br BRA,DF,34-267,14.2,4,0,0,36,15,1,22,17,6,0,0,0,63,16,10,61.5,Matches
Bruno Henrique,br BRA,FW.MF,34-294,14.0,4,0,0,33,27,10,15,3,13,0,0,0,27,25,28,47.2,Matches
Pedro,br BRA,FW,28-122,11.6,3,0,0,14,18,2,4,6,6,2,0,0,20,6,24,20.0,Matches
Luiz Araújo,br BRA,FW.MF,29-140,15.1,2,0,0,26,20,1,71,6,31,0,0,0,44,7,15,31.8,Matches
Jorginho,it ITA,MF,33-304,11.7,5,0,0,19,9,0,6,18,11,0,0,0,74,4,7,36.4,Matches
Guillermo Varela,uy URU,DF,32-210,11.7,0,0,0,5,7,2,27,4,13,0,1,0,37,10,13,43.5,Matches
Wesley,br BRA,DF,22-044,10.9,4,0,0,16,23,1,50,12,20,0,0,0,49,7,10,41.2,Matches
Samuel Lino,br BRA,FW.MF,25-301,9.2,0,0,0,10,13,1,25,2,11,0,0,0,31,4,5,44.4,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,11.8,0,0,0,18,11,2,13,2,17,0,0,0,40,11,19,36.7,Matches
Nicolás De La Cruz,uy URU,MF,28-141,9.3,4,0,0,15,26,0,26,7,10,0,0,0,52,7,3,70.0,Matches
Erick Pulgar,cl CHI,MF,31-278,8.2,3,0,0,14,7,0,9,16,10,0,0,0,40,11,3,78.6,Matches
Gerson,br BRA,FW.MF,28-153,7.9,0,1,0,9,20,0,4,5,14,0,0,0,30,3,1,75.0,Matches
Allan,br BRA,MF,28-231,7.6,2,0,0,18,7,0,0,9,4,0,0,0,32,3,5,37.5,Matches
Emerson,br BRA,DF,26-279,7.9,1,0,0,11,17,0,24,12,13,0,0,0,26,11,10,52.4,Matches
Everton Soares,br BRA,FW.MF,29-212,7.5,0,0,0,11,2,1,16,3,7,0,0,0,25,7,10,41.2,Matches
Danilo,br BRA,DF,34-097,8.2,1,1,0,13,4,0,5,8,6,0,0,0,44,10,13,43.5,Matches
Evertton,br BRA,MF,22-234,8.0,2,0,0,14,8,0,0,3,11,0,0,0,47,7,11,38.9,Matches
Saúl Ñíguez,es ESP,MF,30-333,7.6,1,0,0,18,3,0,5,13,11,0,0,0,38,5,10,33.3,Matches
Ayrton Lucas,br BRA,DF,28-123,7.5,3,0,0,17,10,0,11,4,14,0,1,0,32,14,11,56.0,Matches
Michael,br BRA,FW,29-222,5.0,0,0,0,1,2,1,11,2,1,0,0,0,16,5,3,62.5,Matches
Jorge Carrascal,co COL,FW.MF,27-148,4.4,3,0,0,11,13,0,19,2,7,0,0,0,20,11,5,68.8,Matches
Juninho,br BRA,FW,28-333,3.1,0,0,0,6,4,2,0,1,6,0,0,0,8,6,8,42.9,Matches
Matías Viña,uy URU,DF,27-345,3.1,1,0,0,5,3,0,8,1,6,0,0,0,11,4,2,66.7,Matches
Wallace,br BRA,FW.MF,20-254,2.3,5,1,1,7,16,2,5,1,4,0,0,0,12,3,6,33.3,Matches
Cleiton,br BRA,DF,22-178,0.9,0,0,0,1,2,0,0,2,2,0,0,0,1,1,0,100.0,Matches
Matheus Gonçalves,br BRA,FW,20-063,0.8,0,0,0,1,2,0,2,0,1,0,0,0,6,0,1,0.0,Matches
Victor Hugo,br BRA,MF,21-162,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
