Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Agustín Rossi,ar ARG,GK,30-060,42.3,1,0,0,0,12,0,0,0,0,0,0,0,81,7,2,77.8,Matches
Leo Ortiz,br BRA,DF,29-290,37.0,4,0,0,24,8,1,8,34,23,0,0,0,144,80,50,61.5,Matches
Léo Pereira,br BRA,DF,29-262,36.1,7,0,0,27,15,0,10,28,23,0,3,1,124,69,50,58.0,Matches
Giorgian De Arrascaeta,uy URU,MF,31-141,30.6,5,0,0,19,62,2,155,6,19,2,0,0,80,16,18,47.1,Matches
Luiz Araújo,br BRA,FW.MF,29-140,24.6,3,0,0,48,26,1,122,10,49,0,0,0,59,11,22,33.3,Matches
Bruno Henrique,br BRA,FW,34-294,22.6,6,0,0,47,41,20,19,5,19,0,0,0,38,33,41,44.6,Matches
Alex Sandro,br BRA,DF,34-267,22.5,5,0,0,53,22,2,42,21,15,0,0,0,95,31,14,68.9,Matches
Guillermo Varela,uy URU,DF,32-210,19.7,2,0,0,17,16,3,41,10,23,0,1,0,58,21,23,47.7,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,18.4,4,1,1,26,21,4,20,4,31,0,0,0,61,14,27,34.1,Matches
Jorginho,it ITA,MF,33-304,17.8,5,0,0,21,25,0,8,27,15,0,0,0,96,8,9,47.1,Matches
Pedro,br BRA,FW,28-122,17.1,3,0,0,16,28,2,6,7,8,2,0,0,28,11,27,28.9,Matches
Wesley,br BRA,DF,22-044,17.1,6,0,0,22,34,2,73,22,32,0,0,0,81,13,14,48.1,Matches
Gerson,br BRA,MF.FW,28-153,14.9,1,1,0,14,38,1,13,8,19,0,0,0,50,7,6,53.8,Matches
Erick Pulgar,cl CHI,MF,31-278,14.2,6,0,0,23,12,0,20,24,17,0,0,1,60,13,4,76.5,Matches
Nicolás De La Cruz,uy URU,MF,28-141,13.6,6,0,0,25,43,0,49,9,15,0,0,0,80,11,6,64.7,Matches
Samuel Lino,br BRA,FW,25-301,13.3,1,0,0,12,19,3,41,5,17,0,0,0,48,4,7,36.4,Matches
Ayrton Lucas,br BRA,DF,28-123,13.2,4,0,0,28,22,1,21,8,18,0,1,0,50,18,14,56.3,Matches
Danilo,br BRA,DF,34-097,12.2,1,1,0,15,4,0,5,11,8,0,0,0,48,15,14,51.7,Matches
Allan,br BRA,MF,28-231,11.5,3,0,0,24,9,0,3,17,9,0,0,0,42,6,6,50.0,Matches
Evertton,br BRA,MF,22-234,10.8,2,0,0,18,10,0,0,4,12,0,0,0,60,8,11,42.1,Matches
Saúl Ñíguez,es ESP,MF,30-333,10.6,2,0,0,23,6,0,10,18,16,0,0,0,52,10,14,41.7,Matches
Everton Soares,br BRA,FW,29-212,10.0,0,0,0,14,5,1,21,4,11,0,0,0,30,9,12,42.9,Matches
Emerson,br BRA,DF,26-279,8.4,1,0,0,12,18,0,26,13,14,0,0,0,29,12,13,48.0,Matches
Michael,br BRA,FW,29-222,7.3,0,0,0,2,4,4,19,2,2,0,0,0,19,5,4,55.6,Matches
Juninho,br BRA,FW,28-333,5.2,0,0,0,11,6,3,0,1,8,0,0,0,13,8,15,34.8,Matches
Jorge Carrascal,co COL,MF,27-148,5.1,3,0,0,11,14,0,19,2,9,0,0,0,21,14,10,58.3,Matches
Wallace,br BRA,MF.FW,20-254,3.3,5,1,1,7,20,5,6,2,6,0,0,0,16,3,7,30.0,Matches
Matías Viña,uy URU,DF.MF,27-345,3.2,1,0,0,6,3,0,8,1,6,0,0,0,11,4,2,66.7,Matches
Cleiton,br BRA,DF,22-178,0.9,0,0,0,1,2,0,0,2,2,0,0,0,1,1,0,100.0,Matches
Matheus Gonçalves,br BRA,FW,20-063,0.8,0,0,0,1,2,0,2,0,1,0,0,0,6,0,1,0.0,Matches
Victor Hugo,br BRA,MF,21-162,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
João Victor,br BRA,DF,18-292,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
