Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Agustín Rossi,ar ARG,GK,30-057,27.0,653,791,82.6,16199,10148,129,131,98.5,352,356,98.9,166,295,56.3,0,0.0,0.2,0.0,0,13,0,0,0,Matches
Leo Ortiz,br BRA,DF,29-287,24.2,1664,1828,91.0,31826,12291,569,607,93.7,898,953,94.2,181,240,75.4,2,1.4,1.2,+0.6,8,169,11,4,166,Matches
Giorgian De Arrascaeta,uy URU,"MF,FW",31-138,20.4,775,1021,75.9,11817,3017,435,490,88.8,266,336,79.2,50,134,37.3,11,5.8,6.5,+5.2,50,74,33,6,113,Matches
Léo Pereira,br BRA,DF,29-259,23.0,1753,1875,93.5,31706,10127,654,679,96.3,956,983,97.3,130,183,71.0,0,0.2,0.7,-0.2,7,122,6,0,107,Matches
Alex Sandro,br BRA,DF,34-264,13.2,820,926,88.6,13463,4512,414,434,95.4,339,365,92.9,58,97,59.8,0,1.2,1.3,-1.2,11,98,13,7,100,Matches
Bruno Henrique,br BRA,"FW,MF",34-291,14.0,235,315,74.6,3113,714,147,174,84.5,70,91,76.9,6,11,54.5,0,0.5,1.0,-0.5,10,15,13,4,31,Matches
Pedro,br BRA,FW,28-119,10.7,136,182,74.7,1839,276,82,101,81.2,36,46,78.3,7,8,87.5,5,1.8,1.3,+3.2,18,7,5,0,14,Matches
Luiz Araújo,br BRA,"FW,MF",29-137,14.1,471,613,76.8,7833,1842,239,272,87.9,174,205,84.9,43,86,50.0,2,3.4,2.8,-1.4,31,35,15,3,70,Matches
Guillermo Varela,uy URU,DF,32-207,11.7,617,708,87.1,8960,2222,358,388,92.3,221,250,88.4,19,37,51.4,4,0.7,0.7,+3.3,6,37,8,5,48,Matches
Wesley,br BRA,DF,22-041,10.9,559,660,84.7,8900,1990,290,320,90.6,217,251,86.5,37,54,68.5,2,1.0,1.2,+1.0,11,34,17,7,46,Matches
Jorginho,it ITA,MF,33-301,10.7,882,969,91.0,13989,4273,450,474,94.9,357,386,92.5,53,77,68.8,0,0.3,1.3,-0.3,10,107,18,2,101,Matches
Gonzalo Plata,ec ECU,FW,24-350,11.5,391,473,82.7,5122,1163,257,292,88.0,114,134,85.1,8,15,53.3,1,1.8,2.0,-0.8,26,41,14,1,42,Matches
Nicolás De La Cruz,uy URU,MF,28-138,9.3,634,730,86.8,10684,3017,309,332,93.1,266,287,92.7,48,80,60.0,0,0.7,1.5,-0.7,12,67,16,2,74,Matches
Samuel Lino,br BRA,"FW,MF",25-298,8.6,308,387,79.6,4439,1075,173,200,86.5,105,125,84.0,13,22,59.1,4,1.6,1.2,+2.4,11,18,12,4,33,Matches
Gerson,br BRA,"FW,MF",28-150,7.9,386,427,90.4,6470,1722,205,219,93.6,148,156,94.9,31,39,79.5,2,1.6,1.5,+0.4,13,36,17,1,60,Matches
Allan,br BRA,MF,28-228,7.6,515,552,93.3,9085,2072,230,239,96.2,243,255,95.3,39,52,75.0,0,0.1,0.5,-0.1,5,76,11,0,52,Matches
Erick Pulgar,cl CHI,MF,31-275,7.6,456,498,91.6,7508,2146,212,224,94.6,203,214,94.9,26,35,74.3,0,0.3,0.6,-0.3,5,45,4,0,29,Matches
Everton Soares,br BRA,"FW,MF",29-209,7.5,197,259,76.1,2862,537,117,139,84.2,59,75,78.7,11,20,55.0,1,0.5,0.8,+0.5,5,12,6,1,23,Matches
Evertton,br BRA,MF,22-231,8.0,353,388,91.0,5514,1215,176,189,93.1,148,159,93.1,14,17,82.4,0,0.0,0.3,0.0,1,43,2,0,34,Matches
Ayrton Lucas,br BRA,DF,28-120,7.5,465,513,90.6,7458,2696,235,250,94.0,193,206,93.7,28,39,71.8,0,0.3,0.4,-0.3,5,64,4,3,50,Matches
Danilo,br BRA,DF,34-094,7.4,623,670,93.0,12302,4521,202,208,97.1,354,368,96.2,65,90,72.2,0,0.2,0.2,-0.2,1,78,4,0,64,Matches
Saúl Ñíguez,es ESP,MF,30-330,7.3,406,445,91.2,6456,1686,203,213,95.3,171,181,94.5,22,34,64.7,1,0.6,0.9,+0.4,10,42,9,4,39,Matches
Emerson,br BRA,DF,26-276,6.9,297,351,84.6,4427,1292,156,167,93.4,120,144,83.3,10,15,66.7,0,0.5,0.8,-0.5,9,20,9,3,27,Matches
Michael,br BRA,FW,29-219,5.0,131,161,81.4,1938,491,71,80,88.8,53,63,84.1,5,11,45.5,3,2.0,1.5,+1.0,13,5,10,4,20,Matches
Jorge Carrascal,co COL,"FW,MF",27-145,4.0,135,181,74.6,2096,647,81,97,83.5,28,37,75.7,19,30,63.3,4,0.8,1.0,+3.2,9,13,8,4,19,Matches
