Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Agustín Rossi,ar ARG,GK,30-060,42.3,944,1153,81.9,23949,15233,178,180,98.9,515,519,99.2,245,443,55.3,0,0.0,0.2,0.0,1,18,0,0,0,Matches
Leo Ortiz,br BRA,DF,29-290,37.0,2310,2551,90.6,43981,17280,819,870,94.1,1226,1311,93.5,243,331,73.4,2,1.5,1.6,0.5,12,235,16,4,236,Matches
Léo Pereira,br BRA,DF,29-262,36.1,2397,2592,92.5,43589,13637,884,923,95.8,1303,1353,96.3,188,269,69.9,1,1.0,0.8,0.0,8,166,8,1,161,Matches
Giorgian De Arrascaeta,uy URU,MF,31-141,30.6,975,1298,75.1,15056,4007,542,621,87.3,331,422,78.4,69,171,40.4,13,7.0,8.0,6.0,62,103,43,8,145,Matches
Luiz Araújo,br BRA,FW.MF,29-140,24.6,662,876,75.6,10876,2600,349,396,88.1,232,282,82.3,60,129,46.5,6,5.0,4.3,1.0,46,50,22,5,94,Matches
Bruno Henrique,br BRA,FW,34-294,22.6,338,457,74.0,4403,946,225,263,85.6,89,118,75.4,9,16,56.3,2,1.8,1.3,0.2,17,20,18,5,43,Matches
Alex Sandro,br BRA,DF,34-267,22.5,1228,1421,86.4,20276,7336,613,658,93.2,517,566,91.3,85,152,55.9,0,1.5,1.8,-1.5,16,146,22,8,162,Matches
Guillermo Varela,uy URU,DF,32-210,19.7,885,1017,87.0,12997,3293,507,548,92.5,316,359,88.0,33,60,55.0,4,0.9,1.1,3.1,8,59,11,5,72,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,18.4,558,693,80.5,7074,1669,377,431,87.5,145,178,81.5,11,21,52.4,5,2.7,2.4,2.3,32,53,17,1,62,Matches
Jorginho,it ITA,MF,33-304,17.8,1107,1227,90.2,17380,5280,560,595,94.1,463,503,92.0,56,89,62.9,2,0.4,1.4,1.6,11,116,21,2,116,Matches
Pedro,br BRA,FW,28-122,17.1,205,286,71.7,2761,504,120,153,78.4,50,70,71.4,14,16,87.5,6,2.7,2.0,3.3,24,13,8,0,24,Matches
Wesley,br BRA,DF,22-044,17.1,789,929,84.9,12472,2944,411,449,91.5,304,351,86.6,49,78,62.8,2,1.3,1.9,0.7,16,49,25,11,64,Matches
Gerson,br BRA,MF.FW,28-153,14.9,622,709,87.7,10523,2601,322,350,92.0,237,261,90.8,53,67,79.1,3,2.8,1.8,0.2,23,55,23,2,90,Matches
Erick Pulgar,cl CHI,MF,31-278,14.2,696,780,89.2,11379,3238,334,354,94.4,304,333,91.3,41,60,68.3,0,0.5,1.1,-0.5,7,79,5,0,55,Matches
Nicolás De La Cruz,uy URU,MF,28-141,13.6,913,1052,86.8,15534,4513,430,461,93.3,397,431,92.1,70,118,59.3,0,1.5,2.3,-1.5,20,106,23,4,111,Matches
Samuel Lino,br BRA,FW,25-301,13.3,470,592,79.4,6861,1699,266,302,88.1,155,189,82.0,23,36,63.9,4,2.6,1.9,1.4,20,35,17,7,52,Matches
Ayrton Lucas,br BRA,DF,28-123,13.2,657,732,89.8,10542,3692,339,357,95.0,261,288,90.6,42,59,71.2,1,0.4,0.5,0.6,7,75,7,5,60,Matches
Danilo,br BRA,DF,34-097,12.2,803,875,91.8,15977,6151,247,260,95.0,463,484,95.7,90,124,72.6,0,0.2,0.2,-0.2,2,90,4,0,72,Matches
Allan,br BRA,MF,28-231,11.5,687,743,92.5,12129,2694,305,319,95.6,322,342,94.2,53,70,75.7,0,0.2,0.6,-0.2,6,101,11,0,66,Matches
Evertton,br BRA,MF,22-234,10.8,466,506,92.1,7243,1596,245,258,95.0,180,192,93.8,22,26,84.6,0,0.1,0.4,-0.1,3,49,2,0,39,Matches
Saúl Ñíguez,es ESP,MF,30-333,10.6,529,597,88.6,8417,2341,254,275,92.4,230,244,94.3,28,51,54.9,1,0.7,1.1,0.3,12,61,10,4,57,Matches
Everton Soares,br BRA,FW,29-212,10.0,247,318,77.7,3625,703,145,168,86.3,80,101,79.2,12,23,52.2,1,0.7,0.9,0.3,7,17,7,2,30,Matches
Emerson,br BRA,DF,26-279,8.4,363,433,83.8,5321,1586,198,214,92.5,140,167,83.8,12,20,60.0,0,0.5,0.8,-0.5,9,22,10,3,36,Matches
Michael,br BRA,FW,29-222,7.3,172,218,78.9,2564,642,90,101,89.1,74,93,79.6,5,11,45.5,3,2.3,1.9,0.7,15,7,16,6,29,Matches
Juninho,br BRA,FW,28-333,5.2,53,67,79.1,705,82,30,37,81.1,19,23,82.6,0,0,,0,0.3,0.1,-0.3,5,1,2,0,5,Matches
Jorge Carrascal,co COL,MF,27-148,5.1,161,215,74.9,2458,761,98,116,84.5,35,44,79.5,21,32,65.6,4,0.8,1.0,3.2,9,19,8,4,23,Matches
Wallace,br BRA,MF.FW,20-254,3.3,84,103,81.6,1131,264,57,66,86.4,21,25,84.0,2,4,50.0,2,0.9,0.2,1.1,8,3,4,0,13,Matches
Matías Viña,uy URU,DF.MF,27-345,3.2,156,191,81.7,2186,697,94,100,94.0,49,63,77.8,5,10,50.0,0,0.2,0.2,-0.2,2,11,2,0,13,Matches
Cleiton,br BRA,DF,22-178,0.9,42,47,89.4,708,202,21,23,91.3,17,19,89.5,2,3,66.7,0,0.0,0.0,0.0,0,3,0,0,1,Matches
Matheus Gonçalves,br BRA,FW,20-063,0.8,55,67,82.1,808,113,36,40,90.0,14,16,87.5,4,8,50.0,0,0.0,0.0,0.0,2,3,0,0,3,Matches
Victor Hugo,br BRA,MF,21-162,0.1,5,7,71.4,72,46,3,4,75.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
João Victor,br BRA,DF,18-292,0.1,5,6,83.3,115,50,3,3,100.0,0,0,,2,3,66.7,0,0.0,0.0,0.0,0,1,1,0,1,Matches
