Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Agustín Rossi,ar ARG,GK,30-057,27.0,846,718,845,2,0,0,846,1,1,100.0,0,0.0,540,2505,1551,0,0,0,0,0,478,0,Matches
Leo Ortiz,br BRA,DF,29-287,24.2,2046,158,817,1157,78,21,2046,11,9,81.8,1,9.1,1261,6012,3565,22,15,0,14,2,1533,3,Matches
Giorgian De Arrascaeta,uy URU,"MF,FW",31-138,20.4,1215,7,79,517,635,79,1214,61,32,52.5,21,34.4,702,3476,1629,40,41,6,40,28,920,179,Matches
Léo Pereira,br BRA,DF,29-259,23.0,2063,186,837,1141,90,17,2063,2,1,50.0,1,50.0,1345,6803,3624,19,16,0,10,3,1578,13,Matches
Alex Sandro,br BRA,DF,34-264,13.2,1042,49,257,547,246,11,1042,17,10,58.8,5,29.4,632,2677,1485,30,25,2,11,7,731,37,Matches
Bruno Henrique,br BRA,"FW,MF",34-291,14.0,489,6,22,182,293,66,488,40,18,45.0,18,45.0,315,1751,858,32,20,12,45,21,372,101,Matches
Pedro,br BRA,FW,28-119,10.7,312,5,12,109,192,80,310,19,6,31.6,13,68.4,197,741,217,8,4,7,27,18,238,75,Matches
Luiz Araújo,br BRA,"FW,MF",29-137,14.1,788,12,78,300,420,50,788,34,12,35.3,19,55.9,426,1996,892,27,25,9,31,18,536,108,Matches
Guillermo Varela,uy URU,DF,32-207,11.7,817,29,187,365,269,20,817,13,7,53.8,6,46.2,418,1960,930,20,16,3,16,5,554,93,Matches
Wesley,br BRA,DF,22-041,10.9,784,15,130,333,327,24,784,30,15,50.0,11,36.7,477,2388,1205,35,19,11,25,13,544,124,Matches
Jorginho,it ITA,MF,33-301,10.7,1035,21,188,673,180,4,1035,9,4,44.4,5,55.6,674,3064,1441,9,13,0,9,8,844,10,Matches
Gonzalo Plata,ec ECU,FW,24-350,11.5,607,5,50,234,330,63,607,28,16,57.1,9,32.1,360,2030,781,26,19,8,31,19,466,118,Matches
Nicolás De La Cruz,uy URU,MF,28-138,9.3,800,14,123,495,188,4,800,6,2,33.3,2,33.3,501,2197,931,7,20,0,17,7,608,20,Matches
Samuel Lino,br BRA,"FW,MF",25-298,8.6,503,4,53,177,278,51,503,37,21,56.8,16,43.2,328,2183,1165,51,36,25,19,12,390,96,Matches
Gerson,br BRA,"FW,MF",28-150,7.9,494,10,69,263,166,22,494,15,7,46.7,7,46.7,312,1507,751,11,10,5,9,12,393,45,Matches
Allan,br BRA,MF,28-228,7.6,621,23,107,420,95,1,621,8,4,50.0,3,37.5,387,1825,852,7,14,0,11,4,490,7,Matches
Erick Pulgar,cl CHI,MF,31-275,7.6,560,16,140,344,80,9,560,4,3,75.0,1,25.0,334,1239,432,1,4,0,4,4,424,7,Matches
Everton Soares,br BRA,"FW,MF",29-209,7.5,363,4,32,107,230,32,363,40,11,27.5,28,70.0,232,1637,895,30,19,7,15,12,262,81,Matches
Evertton,br BRA,MF,22-231,8.0,454,7,63,327,71,2,454,7,3,42.9,3,42.9,297,1144,415,2,14,0,6,9,338,4,Matches
Ayrton Lucas,br BRA,DF,28-120,7.5,594,19,150,338,112,7,594,16,7,43.8,8,50.0,333,1354,809,15,14,3,9,1,412,25,Matches
Danilo,br BRA,DF,34-094,7.4,714,43,270,417,30,4,714,1,0,0.0,1,100.0,494,2424,1467,8,10,1,4,1,570,3,Matches
Saúl Ñíguez,es ESP,MF,30-330,7.3,518,13,88,339,94,3,518,2,2,100.0,0,0.0,283,1126,487,3,13,0,4,8,371,8,Matches
Emerson,br BRA,DF,26-276,6.9,429,18,93,192,145,19,429,12,4,33.3,5,41.7,250,1031,533,16,10,3,4,5,276,51,Matches
Michael,br BRA,FW,29-219,5.0,220,6,23,57,143,29,220,19,10,52.6,8,42.1,159,1177,553,17,14,9,11,9,173,73,Matches
Jorge Carrascal,co COL,"FW,MF",27-145,4.0,240,1,15,101,127,14,240,18,8,44.4,10,55.6,142,802,329,10,8,3,10,8,167,26,Matches
Juninho,br BRA,FW,28-330,3.1,79,3,8,25,48,11,79,6,0,0.0,5,83.3,44,249,55,0,3,0,9,9,51,21,Matches
Matías Viña,uy URU,DF,27-342,3.1,225,6,41,119,67,3,225,6,5,83.3,1,16.7,127,650,409,9,10,1,6,3,147,17,Matches
Wallace,br BRA,"FW,MF",20-251,2.3,123,1,5,40,80,14,123,19,9,47.4,8,42.1,85,597,191,10,3,4,13,4,97,30,Matches
Cleiton,br BRA,DF,22-175,0.9,64,8,27,36,1,1,64,0,0,,0,,38,154,71,0,0,0,2,0,42,0,Matches
Matheus Gonçalves,br BRA,FW,20-060,0.8,75,0,5,43,30,1,75,8,2,25.0,6,75.0,42,290,112,2,1,0,2,2,57,8,Matches
Victor Hugo,br BRA,MF,21-159,0.1,9,0,3,6,0,0,9,1,0,0.0,1,100.0,6,33,8,0,0,0,0,1,6,0,Matches
