Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Agustín Rossi,ar ARG,GK,30-060,42.3,1218,1034,1215,5,0,0,1218,1,1,100.0,0,0.0,787,3625,2246,0,0,0,0,0,686,0,Matches
Leo Ortiz,br BRA,DF,29-290,37.0,2856,218,1147,1618,99,27,2856,14,12,85.7,1,7.1,1747,8474,5129,37,20,1,19,2,2099,5,Matches
Léo Pereira,br BRA,DF,29-262,36.1,2876,262,1177,1597,115,25,2876,4,1,25.0,3,75.0,1816,9451,5152,30,19,0,13,3,2134,13,Matches
Giorgian De Arrascaeta,uy URU,MF,31-141,30.6,1583,10,106,685,814,109,1582,86,44,51.2,31,36.0,920,4389,2046,55,51,14,75,40,1196,239,Matches
Luiz Araújo,br BRA,FW.MF,29-140,24.6,1133,15,108,413,628,75,1133,55,24,43.6,28,50.9,601,3043,1334,37,37,13,44,30,761,161,Matches
Bruno Henrique,br BRA,FW,34-294,22.6,723,11,37,261,433,100,722,65,29,44.6,30,46.2,455,2501,1183,42,28,16,61,28,541,157,Matches
Alex Sandro,br BRA,DF,34-267,22.5,1606,70,394,821,403,24,1606,31,16,51.6,12,38.7,909,3882,2154,45,43,6,18,14,1088,72,Matches
Guillermo Varela,uy URU,DF,32-210,19.7,1196,39,274,542,388,28,1196,26,14,53.8,11,42.3,614,2938,1420,35,24,4,26,9,790,128,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,18.4,905,8,84,367,467,79,905,53,27,50.9,23,43.4,529,2944,1224,38,31,11,47,26,671,154,Matches
Jorginho,it ITA,MF,33-304,17.8,1329,35,270,840,226,6,1328,11,5,45.5,5,45.5,850,3905,1856,11,18,0,15,12,1062,16,Matches
Pedro,br BRA,FW,28-122,17.1,482,7,19,187,278,98,480,28,11,39.3,16,57.1,296,1058,330,12,4,8,52,25,373,101,Matches
Wesley,br BRA,DF,22-044,17.1,1102,22,210,472,429,30,1102,44,24,54.5,15,34.1,673,3320,1695,48,29,13,37,17,754,164,Matches
Gerson,br BRA,MF.FW,28-153,14.9,815,12,102,444,276,36,815,35,21,60.0,12,34.3,509,2397,1236,18,20,6,18,16,642,65,Matches
Erick Pulgar,cl CHI,MF,31-278,14.2,877,33,213,550,120,10,877,7,5,71.4,2,28.6,508,2024,812,3,9,0,9,5,649,14,Matches
Nicolás De La Cruz,uy URU,MF,28-141,13.6,1152,18,178,713,269,5,1152,8,3,37.5,3,37.5,735,3178,1381,13,29,0,23,8,880,29,Matches
Samuel Lino,br BRA,FW,25-301,13.3,761,8,77,291,399,71,761,50,26,52.0,23,46.0,483,3122,1712,74,47,35,30,16,578,145,Matches
Ayrton Lucas,br BRA,DF,28-123,13.2,849,35,240,465,151,12,849,21,9,42.9,11,52.4,491,1994,1120,20,18,3,14,5,589,41,Matches
Danilo,br BRA,DF,34-097,12.2,937,71,391,518,31,4,937,2,1,50.0,1,50.0,631,3121,1910,8,10,1,4,1,737,3,Matches
Allan,br BRA,MF,28-231,11.5,833,29,134,561,140,2,833,8,4,50.0,3,37.5,525,2609,1258,9,22,0,13,4,657,10,Matches
Evertton,br BRA,MF,22-234,10.8,596,13,97,416,90,2,596,8,4,50.0,3,37.5,380,1407,475,2,16,0,10,11,443,5,Matches
Saúl Ñíguez,es ESP,MF,30-333,10.6,714,22,124,467,129,7,714,7,4,57.1,3,42.9,378,1524,648,3,15,0,9,13,500,14,Matches
Everton Soares,br BRA,FW,29-212,10.0,459,5,41,145,282,35,459,55,15,27.3,39,70.9,289,1979,1039,37,27,9,19,16,333,93,Matches
Emerson,br BRA,DF,26-279,8.4,533,22,111,233,190,20,533,15,5,33.3,7,46.7,287,1144,574,16,11,3,6,6,334,65,Matches
Michael,br BRA,FW,29-222,7.3,295,6,24,72,204,46,295,30,15,50.0,14,46.7,215,1528,752,22,18,12,15,11,234,102,Matches
Juninho,br BRA,FW,28-333,5.2,132,3,10,41,84,21,132,9,0,0.0,8,88.9,70,393,103,1,4,2,15,13,79,35,Matches
Jorge Carrascal,co COL,MF,27-148,5.1,287,3,19,126,146,15,287,21,11,52.4,10,47.6,162,935,405,13,10,3,11,8,196,31,Matches
Wallace,br BRA,MF.FW,20-254,3.3,168,2,11,57,102,18,168,21,10,47.6,9,42.9,112,682,229,10,3,4,16,5,131,38,Matches
Matías Viña,uy URU,DF.MF,27-345,3.2,225,6,41,119,67,3,225,6,5,83.3,1,16.7,127,650,409,9,10,1,6,3,147,17,Matches
Cleiton,br BRA,DF,22-178,0.9,64,8,27,36,1,1,64,0,0,,0,,38,154,71,0,0,0,2,0,42,0,Matches
Matheus Gonçalves,br BRA,FW,20-063,0.8,82,0,8,46,31,1,82,9,3,33.3,6,66.7,44,302,118,2,2,0,2,2,63,9,Matches
Victor Hugo,br BRA,MF,21-162,0.1,9,0,3,6,0,0,9,1,0,0.0,1,100.0,6,33,8,0,0,0,0,1,6,0,Matches
João Victor,br BRA,DF,18-292,0.1,7,1,1,6,0,0,7,0,0,,0,,6,59,40,1,0,0,0,0,6,0,Matches
