Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected npG-xG,Matches
Agustín Rossi,ar ARG,GK,30-060,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leo Ortiz,br BRA,DF,29-290,24.5,1,18,6,33.3,0.74,0.25,0.06,0.17,13.2,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Giorgian De Arrascaeta,uy URU,MF.FW,31-141,21.0,15,55,18,32.7,2.61,0.86,0.25,0.78,17.5,3,1,1,6.8,6.0,0.11,8.2,8.0,Matches
Léo Pereira,br BRA,DF,29-262,24.0,3,14,6,42.9,0.58,0.25,0.21,0.5,14.1,3,0,0,1.7,1.7,0.12,1.3,1.3,Matches
Alex Sandro,br BRA,DF,34-267,14.2,0,6,1,16.7,0.42,0.07,0.0,0.0,13.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Bruno Henrique,br BRA,FW.MF,34-294,14.0,2,35,12,34.3,2.49,0.86,0.03,0.08,17.2,0,1,1,3.4,2.6,0.08,-1.4,-1.6,Matches
Pedro,br BRA,FW,28-122,11.6,12,41,23,56.1,3.52,1.98,0.27,0.48,15.2,0,1,2,8.6,6.8,0.18,3.4,4.2,Matches
Luiz Araújo,br BRA,FW.MF,29-140,15.1,6,36,15,41.7,2.39,0.99,0.17,0.4,20.0,2,0,0,3.1,3.1,0.09,2.9,2.9,Matches
Jorginho,it ITA,MF,33-304,11.7,1,7,1,14.3,0.6,0.09,0.0,0.0,22.7,0,1,1,1.2,0.4,0.06,-0.2,-0.4,Matches
Guillermo Varela,uy URU,DF,32-210,11.7,0,3,1,33.3,0.26,0.09,0.0,0.0,12.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Wesley,br BRA,DF,22-044,10.9,1,10,3,30.0,0.92,0.27,0.1,0.33,23.4,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
Samuel Lino,br BRA,FW.MF,25-301,9.2,2,27,6,22.2,2.92,0.65,0.07,0.33,16.8,0,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,11.8,4,24,10,41.7,2.03,0.85,0.17,0.4,16.6,2,0,0,3.0,3.0,0.13,1.0,1.0,Matches
Nicolás De La Cruz,uy URU,MF,28-141,9.3,0,11,3,27.3,1.18,0.32,0.0,0.0,24.4,4,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Erick Pulgar,cl CHI,MF,31-278,8.2,1,4,3,75.0,0.49,0.36,0.25,0.33,18.3,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
Gerson,br BRA,FW.MF,28-153,7.9,0,7,4,57.1,0.89,0.51,0.0,0.0,15.7,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
Allan,br BRA,MF,28-231,7.6,0,6,2,33.3,0.79,0.26,0.0,0.0,30.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Emerson,br BRA,DF,26-279,7.9,1,5,2,40.0,0.64,0.25,0.2,0.5,14.8,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
Everton Soares,br BRA,FW.MF,29-212,7.5,1,20,4,20.0,2.67,0.53,0.05,0.25,23.1,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
Danilo,br BRA,DF,34-097,8.2,1,3,2,66.7,0.37,0.24,0.33,0.5,6.5,0,0,0,0.9,0.9,0.29,0.1,0.1,Matches
Evertton,br BRA,MF,22-234,8.0,1,8,5,62.5,1.0,0.62,0.13,0.2,25.3,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
Saúl Ñíguez,es ESP,MF,30-333,7.6,0,11,1,9.1,1.45,0.13,0.0,0.0,24.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Ayrton Lucas,br BRA,DF,28-123,7.5,1,8,3,37.5,1.07,0.4,0.13,0.33,25.0,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
Michael,br BRA,FW,29-222,5.0,1,10,4,40.0,1.98,0.79,0.1,0.25,13.9,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches
Jorge Carrascal,co COL,FW.MF,27-148,4.4,1,7,1,14.3,1.61,0.23,0.14,1.0,14.5,0,0,0,1.2,1.2,0.17,-0.2,-0.2,Matches
Juninho,br BRA,FW,28-333,3.1,0,10,2,20.0,3.23,0.65,0.0,0.0,16.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Matías Viña,uy URU,DF,27-345,3.1,0,1,0,0.0,0.32,0.0,0.0,,22.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Wallace,br BRA,FW.MF,20-254,2.3,1,6,2,33.3,2.65,0.88,0.17,0.5,16.2,0,0,0,0.5,0.5,0.08,0.5,0.5,Matches
Cleiton,br BRA,DF,22-178,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matheus Gonçalves,br BRA,FW,20-063,0.8,0,1,1,100.0,1.3,1.3,0.0,0.0,27.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Victor Hugo,br BRA,MF,21-162,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
