Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected npG-xG,Matches
Agustín Rossi,ar ARG,GK,30-060,42.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leo Ortiz,br BRA,DF,29-290,37.0,2,24,8,33.3,0.65,0.22,0.08,0.25,12.4,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches
Léo Pereira,br BRA,DF,29-262,36.1,4,23,8,34.8,0.64,0.22,0.17,0.5,12.8,4,0,0,2.7,2.7,0.13,1.3,1.3,Matches
Giorgian De Arrascaeta,uy URU,MF,31-141,30.6,18,79,27,34.2,2.58,0.88,0.22,0.63,17.6,3,1,1,8.9,8.1,0.12,8.1,7.9,Matches
Luiz Araújo,br BRA,FW.MF,29-140,24.6,8,61,27,44.3,2.48,1.1,0.13,0.3,20.0,3,0,0,4.5,4.5,0.09,2.5,2.5,Matches
Bruno Henrique,br BRA,FW,34-294,22.6,4,54,17,31.5,2.39,0.75,0.06,0.18,16.5,0,1,1,5.2,4.4,0.08,-2.2,-2.4,Matches
Alex Sandro,br BRA,DF,34-267,22.5,0,8,1,12.5,0.36,0.04,0.0,0.0,16.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Guillermo Varela,uy URU,DF,32-210,19.7,1,6,2,33.3,0.3,0.1,0.17,0.5,16.2,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,18.4,4,35,16,45.7,1.9,0.87,0.11,0.25,16.3,2,0,0,3.9,3.9,0.12,0.1,0.1,Matches
Jorginho,it ITA,MF,33-304,17.8,2,9,2,22.2,0.51,0.11,0.0,0.0,22.7,0,2,2,1.2,0.4,0.06,-0.2,-0.4,Matches
Pedro,br BRA,FW,28-122,17.1,14,57,29,50.9,3.33,1.69,0.23,0.45,15.3,0,1,2,10.7,8.9,0.19,3.3,4.1,Matches
Wesley,br BRA,DF,22-044,17.1,1,17,4,23.5,0.99,0.23,0.06,0.25,25.1,0,0,0,0.5,0.5,0.03,0.5,0.5,Matches
Gerson,br BRA,MF.FW,28-153,14.9,1,19,9,47.4,1.28,0.6,0.05,0.11,17.9,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
Erick Pulgar,cl CHI,MF,31-278,14.2,1,7,3,42.9,0.49,0.21,0.14,0.33,23.6,1,0,0,0.2,0.2,0.04,0.8,0.8,Matches
Nicolás De La Cruz,uy URU,MF,28-141,13.6,1,13,4,30.8,0.95,0.29,0.08,0.25,24.6,5,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Samuel Lino,br BRA,FW,25-301,13.3,2,33,10,30.3,2.48,0.75,0.06,0.2,16.7,0,0,0,2.6,2.6,0.08,-0.6,-0.6,Matches
Ayrton Lucas,br BRA,DF,28-123,13.2,1,12,4,33.3,0.91,0.3,0.08,0.25,23.5,0,0,0,1.0,1.0,0.1,0.0,0.0,Matches
Danilo,br BRA,DF,34-097,12.2,2,4,3,75.0,0.33,0.25,0.5,0.67,6.5,0,0,0,0.9,0.9,0.29,0.1,0.1,Matches
Allan,br BRA,MF,28-231,11.5,0,12,5,41.7,1.04,0.43,0.0,0.0,28.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Evertton,br BRA,MF,22-234,10.8,1,12,5,41.7,1.11,0.46,0.08,0.2,26.4,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
Saúl Ñíguez,es ESP,MF,30-333,10.6,0,17,3,17.6,1.6,0.28,0.0,0.0,24.6,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Everton Soares,br BRA,FW,29-212,10.0,1,24,5,20.8,2.41,0.5,0.04,0.2,23.0,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches
Emerson,br BRA,DF,26-279,8.4,1,5,2,40.0,0.6,0.24,0.2,0.5,14.8,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
Michael,br BRA,FW,29-222,7.3,1,14,5,35.7,1.91,0.68,0.07,0.2,15.9,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
Juninho,br BRA,FW,28-333,5.2,1,13,3,23.1,2.48,0.57,0.08,0.33,15.4,0,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches
Jorge Carrascal,co COL,MF,27-148,5.1,1,7,1,14.3,1.38,0.2,0.14,1.0,14.5,0,0,0,1.2,1.2,0.17,-0.2,-0.2,Matches
Wallace,br BRA,MF.FW,20-254,3.3,3,10,4,40.0,3.07,1.23,0.3,0.75,15.7,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Matías Viña,uy URU,DF.MF,27-345,3.2,0,1,0,0.0,0.31,0.0,0.0,,22.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
