Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance GA,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxGxAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes GA,Per 90 Minutes G-PK,Per 90 Minutes GA-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xGxAG,Per 90 Minutes npxG,Per 90 Minutes npxGxAG,Matches
Agustín Rossi,ar ARG,GK,30-057,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Leo Ortiz,br BRA,DF,29-287,25,25,2178,24.2,1,2,3,1,0,0,4,0,1.4,1.4,1.4,2.7,22,166,3,0.04,0.08,0.12,0.04,0.12,0.06,0.06,0.11,0.06,0.11,Matches
Giorgian De Arrascaeta,uy URU,"MF,FW",31-138,25,24,1835,20.4,14,11,25,13,1,1,2,0,6.4,5.6,5.8,11.3,40,113,179,0.69,0.54,1.23,0.64,1.18,0.31,0.28,0.59,0.27,0.56,Matches
Léo Pereira,br BRA,DF,29-259,24,23,2067,23.0,3,0,3,3,0,0,5,0,1.7,1.7,0.2,1.9,19,107,13,0.13,0.00,0.13,0.13,0.13,0.07,0.01,0.08,0.07,0.08,Matches
Alex Sandro,br BRA,DF,34-264,16,15,1184,13.2,0,0,0,0,0,0,3,0,0.2,0.2,1.2,1.4,30,100,37,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11,Matches
Bruno Henrique,br BRA,"FW,MF",34-291,23,14,1256,14.0,2,0,2,1,1,1,3,0,3.4,2.6,0.5,3.1,32,31,101,0.14,0.00,0.14,0.07,0.07,0.25,0.03,0.28,0.19,0.22,Matches
Pedro,br BRA,FW,28-119,20,12,964,10.7,11,5,16,10,1,2,3,0,8.4,6.7,1.8,8.5,8,14,75,1.03,0.47,1.49,0.93,1.40,0.79,0.16,0.95,0.63,0.79,Matches
Luiz Araújo,br BRA,"FW,MF",29-137,25,11,1267,14.1,6,2,8,6,0,0,2,0,3.0,3.0,3.4,6.4,27,70,108,0.43,0.14,0.57,0.43,0.57,0.22,0.24,0.46,0.22,0.46,Matches
Guillermo Varela,uy URU,DF,32-207,17,11,1055,11.7,0,4,4,0,0,0,0,0,0.1,0.1,0.7,0.8,20,48,93,0.00,0.34,0.34,0.00,0.34,0.01,0.06,0.07,0.01,0.07,Matches
Wesley,br BRA,DF,22-041,11,11,982,10.9,1,2,3,1,0,0,4,0,0.3,0.3,1.0,1.4,35,46,124,0.09,0.18,0.27,0.09,0.27,0.03,0.10,0.13,0.03,0.13,Matches
