Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance GA,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxGxAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes GA,Per 90 Minutes G-PK,Per 90 Minutes GA-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xGxAG,Per 90 Minutes npxG,Per 90 Minutes npxGxAG,Matches
Agustín Rossi,ar ARG,GK,30-060,42,42,3810.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leo Ortiz,br BRA,DF,29-290,39,38,3329.0,37.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,1.5,3.5,37.0,236.0,5.0,0.05,0.05,0.11,0.05,0.11,0.06,0.04,0.1,0.06,0.1,Matches
Léo Pereira,br BRA,DF,29-262,37,36,3251.0,36.1,4.0,1.0,5.0,4.0,0.0,0.0,7.0,0.0,2.7,2.7,1.0,3.7,30.0,161.0,13.0,0.11,0.03,0.14,0.11,0.14,0.08,0.03,0.11,0.08,0.11,Matches
Giorgian De Arrascaeta,uy URU,MF,31-141,38,37,2755.0,30.6,18.0,13.0,31.0,17.0,1.0,1.0,5.0,0.0,8.9,8.1,7.0,15.1,55.0,145.0,239.0,0.59,0.42,1.01,0.56,0.98,0.32,0.25,0.57,0.29,0.54,Matches
Luiz Araújo,br BRA,FW.MF,29-140,40,20,2213.0,24.6,8.0,6.0,14.0,8.0,0.0,0.0,3.0,0.0,4.5,4.5,5.0,9.5,37.0,94.0,161.0,0.33,0.24,0.57,0.33,0.57,0.22,0.24,0.47,0.22,0.47,Matches
Bruno Henrique,br BRA,FW,34-294,38,21,2030.0,22.6,4.0,2.0,6.0,3.0,1.0,1.0,6.0,0.0,5.2,4.4,1.8,6.1,42.0,43.0,157.0,0.18,0.09,0.27,0.13,0.22,0.25,0.08,0.33,0.21,0.29,Matches
Alex Sandro,br BRA,DF,34-267,26,24,2023.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.5,1.7,45.0,162.0,72.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,Matches
Guillermo Varela,uy URU,DF,32-210,29,18,1773.0,19.7,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,1.2,35.0,72.0,128.0,0.05,0.2,0.25,0.05,0.25,0.02,0.05,0.07,0.02,0.07,Matches
Gonzalo Plata,ec ECU,FW.MF,24-353,29,17,1658.0,18.4,4.0,5.0,9.0,4.0,0.0,0.0,4.0,1.0,3.9,3.9,2.7,6.6,38.0,62.0,154.0,0.22,0.27,0.49,0.22,0.49,0.24,0.16,0.41,0.24,0.41,Matches
Jorginho,it ITA,MF,33-304,20,18,1601.0,17.8,2.0,2.0,4.0,0.0,2.0,2.0,5.0,0.0,1.2,0.4,0.4,0.8,11.0,116.0,16.0,0.11,0.11,0.22,0.0,0.11,0.08,0.03,0.11,0.03,0.05,Matches
Pedro,br BRA,FW,28-122,33,19,1542.0,17.1,14.0,6.0,20.0,13.0,1.0,2.0,3.0,0.0,10.7,8.9,2.7,11.7,12.0,24.0,101.0,0.82,0.35,1.17,0.76,1.11,0.69,0.18,0.86,0.58,0.75,Matches
Wesley,br BRA,DF,22-044,18,17,1542.0,17.1,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,1.3,1.8,48.0,64.0,164.0,0.06,0.12,0.18,0.06,0.18,0.04,0.08,0.12,0.04,0.12,Matches
Gerson,br BRA,MF.FW,28-153,17,16,1339.0,14.9,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.2,1.2,2.8,4.1,18.0,90.0,65.0,0.07,0.2,0.27,0.07,0.27,0.1,0.23,0.33,0.1,0.33,Matches
Erick Pulgar,cl CHI,MF,31-278,18,15,1280.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.2,0.2,0.5,0.7,3.0,55.0,14.0,0.07,0.0,0.07,0.07,0.07,0.02,0.04,0.06,0.02,0.06,Matches
Nicolás De La Cruz,uy URU,MF,28-141,20,15,1228.0,13.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,1.5,2.1,13.0,111.0,29.0,0.07,0.0,0.07,0.07,0.07,0.04,0.11,0.15,0.04,0.15,Matches
Samuel Lino,br BRA,FW,25-301,16,15,1196.0,13.3,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,2.6,2.6,2.6,5.2,74.0,52.0,145.0,0.15,0.3,0.45,0.15,0.45,0.2,0.2,0.4,0.2,0.4,Matches
Ayrton Lucas,br BRA,DF,28-123,20,13,1190.0,13.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.4,1.4,20.0,60.0,41.0,0.08,0.08,0.15,0.08,0.15,0.09,0.04,0.13,0.09,0.13,Matches
Danilo,br BRA,DF,34-097,17,11,1100.0,12.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.9,0.9,0.2,1.1,8.0,72.0,3.0,0.16,0.0,0.16,0.16,0.16,0.08,0.02,0.1,0.08,0.1,Matches
Allan,br BRA,MF,28-231,21,12,1039.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.2,0.5,9.0,66.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Evertton,br BRA,MF,22-234,18,10,973.0,10.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,2.0,39.0,5.0,0.09,0.0,0.09,0.09,0.09,0.03,0.01,0.04,0.03,0.04,Matches
Saúl Ñíguez,es ESP,MF,30-333,12,10,958.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.3,3.0,57.0,14.0,0.0,0.09,0.09,0.0,0.09,0.06,0.07,0.13,0.06,0.13,Matches
Everton Soares,br BRA,FW,29-212,24,10,898.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,0.7,2.4,37.0,30.0,93.0,0.1,0.1,0.2,0.1,0.2,0.19,0.07,0.26,0.19,0.26,Matches
Emerson,br BRA,DF,26-279,10,9,752.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,16.0,36.0,65.0,0.12,0.0,0.12,0.12,0.12,0.03,0.06,0.08,0.03,0.08,Matches
